User ID,Occupation (O*NET-SOC Title),Gender,Race,Income,Age,Education,Experience,AI Tedious Work Attitude,AI Job Importance Attitude,AI Daily Interest Attitude,AI Suffering Attitude,Zip Code,Political Affiliation,LLM Familiarity,LLM Use in Work,LLM Usage by Type - Information Access,LLM Usage by Type - Edit,LLM Usage by Type - Idea Generation,LLM Usage by Type - Communication,LLM Usage by Type - Analysis,LLM Usage by Type - Decision,LLM Usage by Type - Coding,LLM Usage by Type - System Design,LLM Usage by Type - Data Processing,Work Description,Work Tasks,Work Tools,Work Processes,AI Envision,Recruitment Source
8b5c8bf7-0d89-442e-a253-51100b869fb8,Medical and Clinical Laboratory Technicians,Female,Black,86K-165K,18,Master’s Degree,6-10 years,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,Republican,I use them regularly.,"No, I've never heard of them.",,,,,,,,,,"As a manager in the medical consulting field, I lead a team that helps healthcare organizations improve their operations, patient care, and overall efficiency. My role involves overseeing projects that focus on optimizing clinical workflows, enhancing patient outcomes, and ensuring compliance with healthcare regulations.

I coordinate the team’s efforts, manage project timelines, and ensure that we deliver high-quality solutions to our clients. A big part of my job is client relationship management—ensuring their needs are met and that our advice is both actionable and aligned with their goals.

In addition to day-to-day operations, I focus on continuous improvement. This includes identifying opportunities to streamline processes, reduce costs, and introduce innovative practices. I also manage the financial aspects of projects, making sure they stay within budget and support the company’s financial health.

Balancing competing priorities is a constant challenge—between addressing employees' concerns, meeting client expectations, and aligning with senior leadership’s goals. Ultimately, my role is about leading my team to provide value to clients while ensuring the company’s growth and success in the healthcare sector.



","In my role, I spend most of my time on

Team Management (30-40%): Overseeing projects, guiding consultants, and addressing team issues.
Client Interaction (25-30%): Meeting with clients to understand their needs and provide updates.
Strategic Planning (15-20%): Improving processes and identifying new business opportunities.
Financial Oversight (10-15%): Managing project budgets and aligning with company financial goals.
","Project Management Tools (Daily): I use software like Asana or Trello to track team tasks, manage project timelines, and ensure everyone is aligned on deliverables. These tools are essential for organizing work and keeping projects on track.

Communication Platforms (Daily): Slack and Microsoft Teams are key for team communication and client meetings. Slack helps us stay in touch quickly, while Teams is often used for virtual meetings and document sharing.

Document Sharing and Collaboration (Daily): Google Workspace (Docs, Sheets, Drive) is vital for document collaboration, sharing project updates, and managing team resources. For more formal documents, Microsoft Office tools like Word and Excel are often used.","I start by checking project progress in Asana/Trello, then hold daily stand-ups via Teams.
I provide ongoing support through Slack and review deliverables, offering feedback via Google Docs or Microsoft Office.",,Prolific
a6afe946-8c94-4aaf-95b3-5491db630053,Computer User Support Specialists,Male,White,30-60K,39,"Some College, No Degree",3-5 years,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,46219,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Monthly,Monthly,Weekly,Weekly,Weekly,Never,Monthly,Never,Weekly,I'm a customer Support Manager for a software company. I supervise and lead the team that handles customer complaints and questions. ,"I interact with clients, I help troubleshoot our product and make sure everything is up to standard.","I use all sorts of tools. Asana, ActiveAdmin, Intercom, ServiceNow, etc. We use various tools.  I use slack, Lessonly, Seismic Knowledge.","Sure, I handle customer complaints and issues that come in via intercom (chat system). Tickets that come in via ServiceNow and Zendesk. I handle administration through ActiveAdmin. ",,Prolific
938f0daa-3bda-422d-a1ae-e5bf793082d0,Lawyers,Female,White,86K-165K,71,"Professional Degree (e.g., MD, JD)",More than 10 years,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,10583,Democrat,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Monthly,Daily,Weekly,Daily,Never,Never,Never,"I represent plaintiffs and defendants in civil litigation. I meet with clients. I prepare pleadings, motions, appellate briefs. I take depositions. I engage in discovery. And I appear in court.","I would have to say that I spend most of my time doing legal research for preparation of pleadings, motions, and briefs. I also  conduct depositions, defend depositions, engage in other types of discovery. I meet with other lawyers in my firm to discuss strategy. I engage in settlement negotiations and appear in court.","When conducting legal research, I generally use Westlaw.  My firm doesn't have a Westlaw Edge with the AI. I sometimes look to AI to jumpstart my research, but I don't ever really rely on it for doing research.","The three tasks that I spend the most time on are discovery, which is the fact-gathering process, then legal research, which encompasses doing both case law and statutory research through the searching on Westlaw and gathering the appropriate research and strategizing about how I want to shape my arguments, discussing them with my managing attorney supervisor.  Then the writing  of either pleadings, motions or brief is  the third part.  The writing and the editing involves several rewrites most of the time till I get it right and say what I want to say.","I don't really use AI in my daily workflow. I'm just getting used to it. A lot of the time when I look at it, I find that it's not accurate. So I feel like I have to do the research anyway, but I have been reading AI more just to jumpstart me sometimes and give me ideas for what I want to look into and what could possibly be said about something. I look at the underlying citations from the AI. ",Prolific
4696b7a0-0af5-460e-b078-4ecdc84926b4,Human Resources Specialists,Female,White,30-60K,18,High School,1-2 year,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,44612,Independent,I use them regularly.,"No, I have not used them for any work-related activities.",,,,,,,,,,"I take call-offs for a chain of nursing homes in Ohio. There are about 25 facilities and I try to find staff. My company is an agency and we have hundreds, probably close to like a thousand employees from our agency, but since it's a chain of nursing homes they are like a sister company so there are so many people that work there. We also have a lot of outside agencies that we deal with so we reach out to them and try to get shifts filled that way as well.","Whenever someone calls off, they call in, I write down their information, I write down their name, their reason for calling off, what facility they are from, what shift they're working. So then I fill out a smart sheet, which is their information, what building they're working for. If they're part of the building staff or if they're agency, I fill out a whole form, which notifies a lot of people in the building. Then I have a group message for each building where I send a text message to let them know that people have called off. Then I go into the scheduling system. We use UKG, and I mark them as a call off, and I send out the shift request in UKG to all of the staff from that building, and then I start reaching out to our people from agency and the other outside agencies, seeing if we can get somebody to cover the shift.","I use Smartsheet, which I mentioned in my last clip, and then I also use UKG. We use a program called Homecare Homebase, and that's about it.",The tasks that take the most time are really just trying to find somebody to cover the staff because I have group messages that I send to all of our people that are in that area. So I have to go through and find my thread of where they're supposed to be or what they're close to and then I have to reach out to all of the outside agencies to see if they can have anybody to cover but I also have to notify the facility as well and sometimes that can be time consuming too because they don't always answer the phone and sometimes they'll answer and put you on hold while you have to wait for a nurse to come over and take the call off which can be irritating.,"I do not currently use AI in my daily workflow, although I would really love if we could have an app put together for us so that we can send all of the shifts to our people or have a board where we can post open shifts where people have an opportunity to pick up the shifts there. I think it's absolutely ridiculous that we have to contact all of these people like this and that there's not a better system in place.",Prolific
8e28affa-d7c5-4896-83f8-1ef3313600e7,Media Technical Directors/Managers,Male,Native American,165K-209K,42,Bachelor’s Degree,More than 10 years,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,59601,Democrat,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Daily,Daily,Daily,Weekly,Daily,Weekly,Daily,Daily,"I am the technical and creative director for a small clean and renewable energy, clean renewable energy consulting firm and low income energy efficiency retrofitting firm. I on my day to day do a lot of 3D animation, a lot of drafting, drafting of designs for green energy systems for new residential and commercial buildings as well as retrofitting older residential and commercial buildings and focusing on low income neighborhoods and low income housing for energy efficient retrofits as well.","I typically do a lot of management of the tech department and the creative department. I do a lot of project management, a lot of email writing, communicating, a lot of drafting, and a lot of 3D design, archviz, a lot of interdepartmental, heading up interdepartmental communications and communicating with our clients, as well as leading our design team for a new training program we have, which is to train energy auditors online through our training program.","My most used programs probably are Houdini, Cinema 4D, as well as Asana. We have an in-house CRM Microsoft Office suite. There's a ton of them. Salesforce we use a bit. I use it quite a bit, but yeah, mostly the in-house CRM and above all else I use Cinema 4D, Houdini, Adobe Photoshop, Premiere Pro, and After Effects quite a bit.","Let's see, the 3D modeling and 3D design, 3D animation, how to walk you through that. A lot of it is brainstorming in freehand and then making motion graphics, making 3D graphics to represent the various parts of our systems and how they work together, and rendering as well. I mean, I don't really know how to walk you through 3D animation. It's difficult to explain, but if I could show you, that would be different. But besides that, I do a lot of cleaning up and adding of records to the CRM, which is every customer and every contact we ever have goes in, name, number, how we know them, who they work for, what they may be interested in, etc.","Mostly, I would just like to use AI for summarizing emails, maybe responding to emails, or making my emails more succinct, but I think just completely responding to emails would be easier if they could, or better if they could take into context, like, contextually what's being talked about, what's being said by the other person, and then craft a satisfactory response. I would say meeting transcription would be great for me, and maybe some sort of AI chat bot or for, you know, the customer service bot that would help people figure out solutions to the problems they're having on their own, or point them in the right direction, or point them to the right content, and direct calls as well, I think, would be pretty good.",Prolific
493c3271-53b7-4384-9e5c-3eb3469bf088,Remote Sensing Scientists and Technologists,Male,Black,165K-209K,18,Master’s Degree,3-5 years,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly disagree,76240,No political affliation,I use them regularly.,"Yes, I use them every day in my work.",Weekly,Weekly,Weekly,Weekly,Daily,Weekly,Weekly,Weekly,Weekly,"So, my work-to-work day just looks like this. So, I arrive at work, and we work on the project at hand. That is maybe to go to some place to collect surveying data, and we normally do this using maybe drones or even RTK data stations. We arrive at those places, we pick the data, and then after we pick the data, then we try to interpret the data that we picked by keying those data into Excel, then making them into a format that can be realized by the AGIS software, or AgMap, and then we come up with maps. Those maps will be of certain functionality, maybe a suitability analysis, maybe we want areas that are very suitable for hospitals, schools, or something. Other data, we'll use them to make topographical maps. Topographical maps are maps that are used to show physical features within a vicinity or a large mass of land, maybe showing mountains, rivers, trees, houses, farmlands, and many other things, so yeah.","So I've been asked what I do typically for my work, so as I've said before I collect data, that is surveying data. Secondly after collecting that data through various means maybe Toulton Sessions, RTKs, Theodore Lite so depending on the accuracy of the data that we need, the type of procedure we'll use will vary. And secondly after collecting those data then we will store them maybe in cloud or even Excel and try to process that data into a format that can be easily read by other software such as ArcMap, Erdos, Esri, Teraset or even data that we can visualize using RStudio so that we can key in those data to ArcMap. So basically that is what we do and then we try to make a conclusive or we try to interpret whatever we've collected whether it makes sense or not before we give them to clients.","So, the most frequent software that we use are Excel, Windows Excel, and also AutoCAD, Civil 3D, ArcMap, Erdas, Envy, and Teraset, and also RStudio. And also we use coding languages such as Python, Anaconda, and even C language. So, we use numerous software. The frequency of these is, the most frequent software that we use is Excel and Erdas and ArcMaps. Those are the ones we use on rare occasions when data needs some complication.","So, the task that I use a lot of time is data collection and I've basically said what data collection entails, that is me going to the field and picking data, picking it using different techniques, total station, RTK, or even a GPS essential, so that is what takes a lot of time. After doing that, the next step is we try to process that data into meaningful information. We come and pick data, we come and maybe analyze those data so that we remain with data that we think is only useful to us, we remove the outliers, and that step is to try and process, to try and visualize those data now. I mean, we have data that we have processed but cannot be interpreted by anyone that does not have a prior knowledge of GIS, so we try to process, those processed data, we try to visualize them into a format that can be understood by anyone, and those formats include maps, yeah, maps showing elevations, maps showing temperatures, maps showing point features, so I think that is it.","with sorting out data and show me the outliers data that are not supposed to be within a map. For instance, you've collected point features in Excel in a form of X, Y coordinates. For instance, we'll find one feature is an outlier. It is very far from the area of data collection and I expect AI to pinpoint this. So I think there are so many ways AI could help me.",Prolific
691bf408-c15b-4768-89f3-628ca1782fc5,Computer Programmers,Male,White,86K-165K,36,Master’s Degree,6-10 years,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,,Independent,I have some experience using them.,"Yes, I have used them occasionally for specific tasks.",Weekly,Weekly,Weekly,Monthly,Weekly,Never,Never,Never,Monthly,"What I do in a day is attending meetings, having a plan for the day, I'm working on the code, debugging, create a bug, fix a bug, testing, deployment, production support.","The tasks are usually development, user story, based on the JIRA, and typically it's just development, coding, and testing.","the tools are on the IDE, any tool for DB, running query, browser, Java, that's all","First is understanding the requirement, gather all the data needed for the user story, then get all the access if I need one, and then work on the code, and then do unit testing, make sure the code is working fine, and then deployment.",And we can use the AI to get some help for the coding part and any debugging or any complex code or review code we use the AI.,Prolific
8d3d4db1-7df9-41f3-b7f4-61bb348d4de0,Commercial and Industrial Designers,Female,White,86K-165K,36,Bachelor’s Degree,1-2 year,Neither agree nor disagree,Strongly disagree,Somewhat agree,Strongly disagree,,Independent,I use them regularly.,"Yes, I use them every week in my work.",Weekly,Monthly,Weekly,Never,Weekly,Weekly,Never,Monthly,Monthly,"For work, I process and display various floral designs and use creative abilities to make appealing displays for the best shopping experience for customers.","I care for various floral designs and I take care of the flowers by watering them, pruning, throwing away as needed, and opening up new product and displaying it creatively throughout the store for the best experience.","Various apps and emails, and various forms of communication, computer references for planograms, and then just manual labor.","I access most of the communication through apps on my phone, and then I can consult with co-workers for any additional help that I need to get everything out and displayed properly and for any resources that I may need.","I think for information on specific plants and how to care for them properly, also maybe in coordinating which ones go the best together and coexist together in the best ways. I also think in ways of arranging things more efficiently.",Prolific
41d87056-105e-4fea-b982-225b6c79eadc,"Dispatchers, Except Police, Fire, and Ambulance",Female,Black,30-60K,25,Bachelor’s Degree,3-5 years,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,,Democrat,I use them regularly.,"No, I have not used them for any work-related activities.",,,,,,,,,,"As a 911 operator or a telecommunicator, I answer emergency calls and I dispatch out the appropriate emergency unit. So I dispatch out either police, fire, EMS or all of them. I also do our rescue department. I do a couple of other things.","A normal day at work includes tasks like answering the phone, answering the radios, dispatching out emergency units, and a lot of times it takes a lot of patience to do these things because you have to get to what exactly does this caller need. Sometimes they'll give you more information than you need at that time and you'll have to dig and sift through it and figure out what do you need today, how can I help you. I also run driver's license, tags, guns. I get officers criminal histories on people and sometimes all I have is a person's name and I have to find their actual driver's license out of all states with just a name.","So, we use a couple of different softwares and tools. One that we use for our phone system is called Solicom, and so essentially what that does is it ties in our administrative and 911 calls together, and I'm also able to get in contact with any of our emergency services, any of our nearby counties very quickly and at the access of just one click. We also use a system called CAD, and it's just where we keep reports of everything we deal with. So, that goes from regular calls from people to an officer-initiated call. We can pull the records up at any time from any date. We keep up with what units we have on at that time, the active calls, 911, past and present from that day, and we can also message our officers, and then we also have NCIC, which is our National Crime Information Center. I can't remember the last name, the last letter or word of it, but nonetheless, it is for us to run all information from across the 50 states. We can also do Mexico driver's license, and we can use it for a substantial amount of things. Like I said earlier, driver's license, vehicles, guns, articles, which include anything with a serial number.","So the three tasks that I spend the most time on are answering the phone, answering the radio, and logging everything into the CAD system. So we'll say that somebody calls me on the phone, they're needing an officer to come to their address and do a theft report for them. Well, I take that phone call first, then I get on my radio, I holler at whatever officer is on in the city that the person is in. I give them the information of the person. I usually give them a description of the situation, the address, the person's name, and then I give them the address again just so that I make sure that they hear it. And while doing all this, I may log all of it in the computer at the same time, or typically I do it while I'm on the phone with the person. And so I'm logging all this information as officers enroute. I put him on scene, I put him enroute, and I'm constantly keeping up with it, and I check on him throughout the duration of the call on the radio. So maybe seven minutes into the call, I'll holler on the radio to make sure that the officer is good, put that into the computer.","Personally, it's kind of hard for me to imagine AI optimization in our daily workflow, just because it's hard to automate what a 911 dispatcher does. People are very emotional. People will lie to you. They will give you a lot more information than what's needed, and it's hard sometimes to get information out of people because they're reluctant, or they just don't want to... Not necessarily reluctant. Sometimes they're scared. And I don't see how an AI would be able to decipher all of this in a timely manner. I believe that AI could be helpful, but I don't think that it could do what I do in a timely manner in less than probably one minute to figure out, okay, I need to get this officer out here right now. I need to call him back up. I need to possibly have EMS standing on standby in case this person needs some medical assistance. But because the situation is not secure yet by my officer, it's not good for me to go ahead and send my EMS.",Prolific
f642db9b-e0bf-4478-baa8-008b180e703b,Electrical and Electronic Engineering Technologists and Technicians,Male,Native American,529K+,30,Master’s Degree,3-5 years,Strongly agree,Somewhat agree,Strongly agree,Somewhat disagree,29572,Republican,I use them regularly.,"Yes, I use them every day in my work.",Daily,Daily,Daily,Weekly,Daily,Daily,Daily,Daily,Daily,"Hello. So, I'm an electrical and electronic engineer. What I do is I use AI to train robotics that I used majorly in hotels. Yeah, machine learning is basically what I do. I also am able to design the robots, also able to train them so that I can automate them so that they can work on their own. We don't need staff or human intervention for their working. Only we need human beings for their control. So, majorly that's what I do in my AI field as an electrical engineer. Thank you.","All right, so I feed the robots with informations, especially where they are supposed to work in the hotels. For example, distances on how they're supposed to move, how they're supposed to work in the kitchen, how they're supposed to serve people in the waiting rooms, and how to deal with clients. And eventually, how they're supposed to operate, feeding them with data and trying to test them for a while and see whether they are performing all right. That is all I do. Thank you.","All right, for printing the 3D models of the robotics arms, before assembling, I use the Babu Lamp Studio, which is a software I'm able to get the designs and also be able to print them on there using the 3D printers. I use Python language to train, especially in machine learning, to train the robots. That is literally what I use. I'm also able to use Tinkercad to design the robotic arms at some levels, but not so much. And then after the design, I'm able to assemble them and automate them. Thank you.","All right. So, as I have said, the first thing is to print the 3d models, assemble them, and train them. After the training, I'm able to do the tests in the hotels before deployment. The purpose of the test is to ensure that the robots are working well, and they have able to follow the instructions given to them or fed to them through the machine learning. Once that is done after the test for a few days, I'm able to deploy them fully to work in the kitchens, the hotels. Yeah, that is literally how I'm able to complete that assignment. Yeah, when there is some errors, you retrain them again. And I've seen an improvement in some cases. Yeah, that is all I do. Thank you.","Personally, I think that we are entering into the world where AI is taking over the operations of everything. And for that fact, or for a fun fact, as an electrical engineer, AI is making it easy for us to do automations in the field of electrical engineering, as I have just mentioned in robotics. Also, AI can also be used in data analysis, especially in Python, and in many other cases, we are able to use AI in cloud computing. Yeah, so I'm looking forward to where AI is doing over 80% of my daily workflow, and making it easy for me. Because the major thing I will be doing is just to make sure I do the automations, do the machine learning, and then just be watching the machine that they operate in my absence. My needs will be just to maintenance and make sure that the machines are working, workflow every day be done by 80%, that's what I'm envisioning in my life. Thank you.",Prolific
